GQE-optimized(best_so_far)/cx_count,GQE-optimized(best_so_far)/energy - R-CASCI,GQE-optimized(best_so_far)/energy - R-CCSD,GQE-optimized(best_so_far)/num_sampled_basis,GQE-optimized(best_so_far)/num_symmetry_preserving_basis,GQE-optimized(best_so_far)/subspace_dim,GQE-optimized(best_so_far)/total_gates,GQE-optimized/cx_count/max,GQE-optimized/energy/mean,GQE-optimized/energy/min,GQE-optimized/energy/std,GQE-optimized/subspace_dim/max,GQE-optimized/total_gates/max,Global-refined(best_so_far)/energy - R-CASCI,Global-refined(best_so_far)/energy - R-CCSD,Global-refined(best_so_far)/subspace_dim,Local-refined(best_so_far)/energy - R-CASCI,Local-refined(best_so_far)/energy - R-CCSD,Local-refined(best_so_far)/subspace_dim,epoch
3864,0.007154096303978008,-0.30024583761812096,71,71,183,7394,5520,-107.40855496495537,-107.4290112654601,0.03699820224290316,78,9500,0.003225359497164959,-0.304174574424934,200,0.003225561940595867,-0.3041743719815031,200,0
3864,0.007154096303978008,-0.30024583761812096,71,71,183,7394,5448,-107.40824417193515,-107.4396984713874,0.041357586855205325,77,9568,0.0031624039709328144,-0.30423752995116615,200,0.003225561940595867,-0.3041743719815031,200,1
3864,0.007154096303978008,-0.30024583761812096,71,71,183,7394,5568,-107.4071111123767,-107.43877186857212,0.04349420508737596,82,9728,0.002419441754483387,-0.3049804921676156,200,0.002760788348396659,-0.3046391455737023,200,2
3864,0.007154096303978008,-0.30024583761812096,71,71,183,7394,5400,-107.39581156003761,-107.44002036990287,0.047758368100332196,62,9422,0.00048246382408478894,-0.3069174700980142,200,0.0018815935548701646,-0.3055183403672288,200,3
4376,0.005661978710705284,-0.3017379552113937,100,100,200,8266,5472,-107.40307128867096,-107.44294192304102,0.04240635711275484,92,9600,0.00040766817372173136,-0.30699226574837724,200,0.0014488234397589395,-0.30595111048234,200,4
5008,0.00515463916428871,-0.30224529475781026,72,72,200,8898,5504,-107.41491238116033,-107.44344926258744,0.030168578787618423,90,9664,0.00040766817372173136,-0.30699226574837724,200,0.0012795277190917886,-0.3061204062030072,200,5
5008,0.00515463916428871,-0.30224529475781026,72,72,200,8898,5240,-107.40941570529475,-107.44278102599715,0.03910990251632812,99,9310,0.00033837215853793623,-0.30706156176356103,200,0.0010183944013277824,-0.3063815395207712,200,6
4024,0.004507079241761858,-0.3028928546803371,78,78,200,7464,5344,-107.41009296299475,-107.44409682250996,0.037010338738548546,114,9324,0.00033837215853793623,-0.30706156176356103,200,0.000820878721100371,-0.3065790552009986,200,7
4024,0.004507079241761858,-0.3028928546803371,78,78,200,7464,4992,-107.41009427781175,-107.44388198112779,0.03718912195946858,134,8940,0.00022464383062015258,-0.3071752900914788,200,0.0008040933747679446,-0.306595840547331,200,8
4024,0.004507079241761858,-0.3028928546803371,78,78,200,7464,5496,-107.40494023094338,-107.4427578213145,0.04449489456168483,88,9206,0.00022464383062015258,-0.3071752900914788,200,0.0008040933747679446,-0.306595840547331,200,9
4496,0.003999660523717807,-0.30340027339838116,62,62,200,8206,5432,-107.4135945171705,-107.444604241228,0.028294452206581232,122,9322,0.00022464383062015258,-0.3071752900914788,200,0.0008040933747679446,-0.306595840547331,200,10
4584,0.0024066541234901706,-0.3049932797986088,73,73,200,8294,5192,-107.4127493491616,-107.44619724762823,0.029997387795372348,106,8812,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,11
4584,0.0024066541234901706,-0.3049932797986088,73,73,200,8294,5224,-107.42300457017107,-107.44619755884496,0.03098358523607565,92,9114,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,12
4360,0.0021431076760052292,-0.30525682624609374,65,65,192,8236,5320,-107.42400139579762,-107.44646079407572,0.024894122809724355,122,9300,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,13
4360,0.0021431076760052292,-0.30525682624609374,65,65,192,8236,5128,-107.42782787329543,-107.44621993646197,0.02388996522708071,112,9190,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,14
4960,0.002004339812472722,-0.30539559410962624,64,64,199,9030,5408,-107.42828012905869,-107.44659956193925,0.022882184227318025,86,9478,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,15
4992,0.0012038545270200984,-0.30619607939507887,74,74,200,8882,5472,-107.42042347702407,-107.4474000472247,0.0343847205732332,103,9542,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,16
4992,0.0012038545270200984,-0.30619607939507887,74,74,200,8882,5448,-107.4131612544673,-107.44728593783556,0.049797354736722296,88,9428,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,17
4992,0.0012038545270200984,-0.30619607939507887,74,74,200,8882,5344,-107.4375947979028,-107.44731089244512,0.017191440746289224,121,9324,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,18
5120,0.00118685182910383,-0.30621308209299514,75,75,200,9100,5440,-107.43906333841409,-107.44741704992262,0.01718449737769996,128,9420,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,19
4960,0.0010716396873817757,-0.3063282942347172,82,82,200,8940,5568,-107.44268405519625,-107.44753226206434,0.00978975882246856,154,9638,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,20
5024,0.0007397727019764488,-0.3066601612201225,81,81,196,9004,5248,-107.44497960770728,-107.44786412904975,0.00812505320221967,176,9318,0.00022464383062015258,-0.3071752900914788,200,0.0005426285820675503,-0.3068573053400314,200,21
4992,0.0006568273777816103,-0.30674310654431736,80,80,200,8972,5568,-107.44582437147248,-107.44794707437394,0.0051329188359438985,146,9548,0.00022464383062015258,-0.3071752900914788,200,0.0005087398802601228,-0.30689119404183884,200,22
4896,0.0005022949456616743,-0.3068976389764373,80,80,198,8876,5248,-107.44712450525816,-107.44810160680606,0.0026205934699473125,142,9254,0.00022464383062015258,-0.3071752900914788,200,0.0005087398802601228,-0.30689119404183884,200,23
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5184,-107.44745927790613,-107.4481576245413,0.0019099014340687424,165,9254,0.00022464383062015258,-0.3071752900914788,200,0.0005087398802601228,-0.30689119404183884,200,24
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5376,-107.44740983702212,-107.44815688070008,0.0019446612219283985,168,9356,0.00022464383062015258,-0.3071752900914788,200,0.0005087398802601228,-0.30689119404183884,200,25
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5248,-107.44754681048413,-107.44815805122309,0.00186081497134953,169,9318,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,26
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5184,-107.44764379577165,-107.44816031821989,0.0006705887920469806,160,9254,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,27
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5248,-107.44781137250948,-107.44815794597436,0.0005145751207318776,176,9228,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,28
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5184,-107.44743889644752,-107.44815680344333,0.0019200664279400914,162,9254,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,29
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5120,-107.44765329790793,-107.44815673888182,0.0008220146372157887,159,9100,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,30
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5256,-107.44736619548274,-107.44816093166975,0.0025704593665034268,170,9222,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,31
4896,0.0004462772104290025,-0.30695365671166996,83,83,200,8876,5184,-107.44720371367184,-107.44815688070007,0.001997438881236099,162,9254,0.00018827690173850442,-0.30721165702036046,200,0.0005087398802601228,-0.30689119404183884,200,32
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,5120,-107.44421729483541,-107.44817120101754,0.008786817295895158,124,9100,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,33
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,5024,-107.44569828473074,-107.44815742449717,0.0075454242411751495,144,9004,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,34
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,4896,-107.44583325419644,-107.4481495079355,0.006053816772452992,171,8934,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,35
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,4736,-107.44725154355447,-107.44817029953546,0.003155302276606889,170,8716,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,36
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,4800,-107.44678946312604,-107.44817137569697,0.005183339173494499,162,8780,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,37
4736,0.00043270073418000266,-0.30696723318791896,68,68,200,8716,4832,-107.44764343941465,-107.44815006316077,0.0018451474361663336,174,8838,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,38
4704,0.000364215610119345,-0.3070357183119796,76,76,200,8684,4864,-107.4452296437032,-107.4482396861416,0.008793100805565925,163,8844,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,39
4704,0.000364215610119345,-0.3070357183119796,76,76,200,8684,4960,-107.44582659219019,-107.44824248360152,0.008068542676229348,153,8940,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,40
4672,0.00035276894330138475,-0.3070471649787976,72,72,200,8652,4992,-107.44568078444881,-107.44825113280842,0.00764188416524527,145,9062,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,41
4672,0.00035276894330138475,-0.3070471649787976,72,72,200,8652,4992,-107.44783908860104,-107.44824117885213,0.0004978296007715221,171,9030,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,42
4672,0.00034090904756567397,-0.3070590248745333,74,74,200,8652,4832,-107.44662138389563,-107.44826299270416,0.007234588678869985,167,8812,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,43
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4928,-107.44567420547068,-107.44827171527686,0.010404906503951119,164,8998,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,44
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4832,-107.4461698406682,-107.44825758120894,0.009712483855551311,178,8812,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,45
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4768,-107.44716609436702,-107.44824585818317,0.006818776521661927,164,8748,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,46
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4832,-107.44773690356209,-107.44826724877423,0.0022106216386192333,180,8812,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,47
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4864,-107.44767487908393,-107.44824777182573,0.0019249217008204618,177,8844,0.0001746850974342351,-0.30722524882466473,200,0.0003357198523730176,-0.30706421406972595,200,48
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4800,-107.4476227788512,-107.44825401141314,0.0027895224266614085,170,8870,0.00017137357671970221,-0.30722856034537926,200,0.0003357198523730176,-0.30706421406972595,200,49
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4832,-107.44766764672511,-107.44825752580991,0.0019613313109014476,183,8812,0.00017137357671970221,-0.30722856034537926,200,0.0003357198523730176,-0.30706421406972595,200,50
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4864,-107.44684046719938,-107.44826738821519,0.007163712746586918,169,8844,0.00017137357671970221,-0.30722856034537926,200,0.0003357198523730176,-0.30706421406972595,200,51
4672,0.0003321864748642156,-0.30706774744723475,76,76,200,8652,4800,-107.44742948834383,-107.44825243091577,0.0033274893721572762,164,8838,0.00017137357671970221,-0.30722856034537926,200,0.0003357198523730176,-0.30706421406972595,200,52
