GQE-optimized(best_so_far)/cx_count,GQE-optimized(best_so_far)/energy - R-CASCI,GQE-optimized(best_so_far)/energy - R-CCSD,GQE-optimized(best_so_far)/num_sampled_basis,GQE-optimized(best_so_far)/num_symmetry_preserving_basis,GQE-optimized(best_so_far)/subspace_dim,GQE-optimized(best_so_far)/total_gates,GQE-optimized/cx_count/max,GQE-optimized/energy/mean,GQE-optimized/energy/min,GQE-optimized/energy/std,GQE-optimized/subspace_dim/max,GQE-optimized/total_gates/max,Global-refined(best_so_far)/energy - R-CASCI,Global-refined(best_so_far)/energy - R-CCSD,Global-refined(best_so_far)/subspace_dim,Local-refined(best_so_far)/energy - R-CASCI,Local-refined(best_so_far)/energy - R-CCSD,Local-refined(best_so_far)/subspace_dim,epoch
3920,0.08331376381495659,-0.27788484754360354,41,41,137,7720,5144,-107.16380596887417,-107.40006949320292,0.09353327561128649,42,9214,0.07893713378959433,-0.2822614775689658,200,0.07893713378970801,-0.2822614775688521,200,0
3920,0.08331376381495659,-0.27788484754360354,41,41,137,7720,4896,-107.21781060380012,-107.39999948838334,0.09278152961419145,40,9056,0.07893713378959433,-0.2822614775689658,200,0.07893713378970801,-0.2822614775688521,200,1
3744,0.08047718894972888,-0.28072142240883124,59,59,142,7350,4760,-107.2531657639811,-107.40290606806815,0.1055487839085182,33,8830,0.07893713378959433,-0.2822614775689658,200,0.07893713378963696,-0.28226147756892317,200,2
4184,0.07988101476838949,-0.28131759659017064,58,58,158,8164,4896,-107.25235505615659,-107.40350224224949,0.09175268301235634,43,8966,0.07893713378959433,-0.2822614775689658,200,0.07893713378962275,-0.2822614775689374,200,3
3832,0.0793224486730395,-0.2818761626855206,70,70,146,7722,5016,-107.24934066422638,-107.40406080834484,0.10431564518635947,42,9086,0.07893713378959433,-0.2822614775689658,200,0.07893713378962275,-0.2822614775689374,200,4
3776,0.07904519148391387,-0.28215341987464626,104,104,200,7666,4896,-107.26858649951852,-107.40433806553396,0.09355539144374252,42,9056,0.07893713378959433,-0.2822614775689658,200,0.07893713378962275,-0.2822614775689374,200,5
3776,0.07904519148391387,-0.28215341987464626,104,104,200,7666,4728,-107.31300523608539,-107.40372564578023,0.0910529071699991,62,8708,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,6
3776,0.07904519148391387,-0.28215341987464626,104,104,200,7666,4632,-107.32652643585709,-107.40433517493999,0.09380811958652009,46,8768,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,7
3640,0.07897974924743778,-0.28221886211112235,78,78,166,7620,4768,-107.34931054841665,-107.40440350777044,0.07867872872646799,60,8928,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,8
3640,0.07897974924743778,-0.28221886211112235,78,78,166,7620,4672,-107.31608514625357,-107.4041309450175,0.0834545818497123,39,8742,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,9
3568,0.07896109543065677,-0.28223751592790336,78,78,156,7458,4784,-107.32898498348844,-107.40442216158722,0.07173500701538177,59,8774,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,10
3568,0.07896109543065677,-0.28223751592790336,78,78,156,7458,4672,-107.340855012064,-107.40437669996118,0.07986420333278217,55,8742,0.07893713378959433,-0.2822614775689658,200,0.07893713378958012,-0.28226147756898,200,11
