GQE-optimized(best_so_far)/cx_count,GQE-optimized(best_so_far)/energy - R-CASCI,GQE-optimized(best_so_far)/energy - R-CCSD,GQE-optimized(best_so_far)/num_sampled_basis,GQE-optimized(best_so_far)/num_symmetry_preserving_basis,GQE-optimized(best_so_far)/subspace_dim,GQE-optimized(best_so_far)/total_gates,GQE-optimized/cx_count/max,GQE-optimized/energy/mean,GQE-optimized/energy/min,GQE-optimized/energy/std,GQE-optimized/subspace_dim/max,GQE-optimized/total_gates/max,Global-refined(best_so_far)/energy - R-CASCI,Global-refined(best_so_far)/energy - R-CCSD,Global-refined(best_so_far)/subspace_dim,Local-refined(best_so_far)/energy - R-CASCI,Local-refined(best_so_far)/energy - R-CCSD,Local-refined(best_so_far)/subspace_dim,epoch
4176,0.08426802373934095,-0.2769367930764446,46,46,95,8142,5200,-107.18643015658472,-107.39897556188325,0.09645246249703247,28,9256,0.0789381355001666,-0.28226668131561894,200,0.07893813550013817,-0.28226668131564736,200,0
4032,0.08364795517219648,-0.27755686164358906,64,64,150,8192,4920,-107.208205453531,-107.39973530184568,0.10191164659040117,51,8990,0.07893713378960854,-0.282267683026177,200,0.07893713378962275,-0.2822676830261628,200,1
3296,0.08248798695292692,-0.2787168298628586,52,52,77,7276,4760,-107.23482619917813,-107.40089527006495,0.10104641390865748,48,8832,0.07893713378960854,-0.282267683026177,200,0.07893713378962275,-0.2822676830261628,200,2
3896,0.08248430336762169,-0.27872051344816384,82,82,194,7786,4952,-107.22455503770594,-107.40089895365026,0.1000967694423224,43,9022,0.0789371337895659,-0.28226768302621963,200,0.07893713378962275,-0.2822676830261628,200,3
3392,0.08067923296043489,-0.28052558385535065,72,72,136,7372,4896,-107.25312934631225,-107.40270402405744,0.09951230004970586,47,9056,0.0789371337895659,-0.28226768302621963,200,0.07893713378962275,-0.2822676830261628,200,4
3768,0.07911928696368875,-0.2820855298520968,67,67,180,7568,4752,-107.2945620453627,-107.40426397005419,0.08963096734593906,35,8742,0.0789371337895659,-0.28226768302621963,200,0.07893713378962275,-0.2822676830261628,200,5
4128,0.07909021668491789,-0.28211460013086764,60,60,138,8198,4688,-107.31822759067941,-107.40429304033296,0.08039536630919977,41,8800,0.0789371337895659,-0.28226768302621963,200,0.07893713378960854,-0.282267683026177,200,6
4128,0.07909021668491789,-0.28211460013086764,60,60,138,8198,4632,-107.3575178183817,-107.40387314270751,0.056750295179349056,44,8702,0.0789371337895659,-0.28226768302621963,200,0.07893713378960854,-0.282267683026177,200,7
3584,0.07904167727416223,-0.2821631395416233,79,79,149,7654,4568,-107.3796421357473,-107.40434157974371,0.030997100411132038,47,8548,0.0789371337895659,-0.28226768302621963,200,0.07893713378960854,-0.282267683026177,200,8
3584,0.07904167727416223,-0.2821631395416233,79,79,149,7654,4544,-107.36359480623786,-107.40430141040414,0.05635742351915587,64,8524,0.0789371337895659,-0.28226768302621963,200,0.07893713378960854,-0.282267683026177,200,9
